Category,Subcategory,Keyword/Concept,Extensive Explanation,Example/Context
Core DBMS Concepts,Fundamental Concepts,Database Management System (DBMS),"Software suite managing data definition, storage, querying, and manipulation","MySQL, PostgreSQL, MongoDB - mediates between users and data"
Core DBMS Concepts,Fundamental Concepts,Database,Organized collection of related data stored persistently,"Collection of tables, documents, or key-value pairs"
Core DBMS Concepts,Fundamental Concepts,Data Model,Formal representation of data structure and relationships,"Relational (tables), document (JSON), key-value, graph, object-oriented"
Core DBMS Concepts,Fundamental Concepts,Schema,Blueprint/structure defining database organization and constraints,"Table definitions, column types, relationships, constraints"
Core DBMS Concepts,Fundamental Concepts,Relation,Two-dimensional table with rows and columns - fundamental relational unit,"Customers table with ID, name, email columns"
Core DBMS Concepts,Fundamental Concepts,Tuple,Single row in a relational table - instance of data,"One customer record: (1, 'John', 'john@email.com')"
Core DBMS Concepts,Fundamental Concepts,Attribute,Column in a relation - data property,"Customer name, email, phone are attributes"
Core DBMS Concepts,Fundamental Concepts,Entity,Thing or concept represented in database,"Customer, Order, Product - main business objects"
Core DBMS Concepts,Fundamental Concepts,Relationship,Association between entities,"Customer places Order, Order contains Product"
Core DBMS Concepts,Fundamental Concepts,Primary Key,Unique identifier for each row in table - no duplicates allowed,Customer ID uniquely identifies customer
Core DBMS Concepts,Fundamental Concepts,Foreign Key,Reference to primary key in another table - enforces referential integrity,Order.CustomerID references Customer.ID
Core DBMS Concepts,Fundamental Concepts,Index,Data structure speeding up data retrieval - trades space for speed,B-tree index on customer email for fast lookups
Core DBMS Concepts,Fundamental Concepts,Query,Request for data retrieval or manipulation,SELECT * FROM customers WHERE age > 21
Core DBMS Concepts,Fundamental Concepts,Transaction,Logical unit of work - all or nothing execution,"Transfer money: debit one account, credit another"
Core DBMS Concepts,Fundamental Concepts,ACID Properties,"Atomicity, Consistency, Isolation, Durability - transaction guarantees",Ensures reliable database operations
Core DBMS Concepts,Relational Model Basics,Relational Model,Data organized in tables with rows and columns,Mathematical foundation for relational databases
Core DBMS Concepts,Relational Model Basics,Normalization,Process of organizing data to minimize redundancy and dependencies,"Normal forms (1NF, 2NF, 3NF, BCNF) eliminate anomalies"
Core DBMS Concepts,Relational Model Basics,First Normal Form (1NF),Eliminate repeating groups - atomic values in columns,No multi-valued attributes
Core DBMS Concepts,Relational Model Basics,Second Normal Form (2NF),Remove partial dependencies - non-key attributes depend on whole key,Build from 1NF without redundancy
Core DBMS Concepts,Relational Model Basics,Third Normal Form (3NF),Remove transitive dependencies - non-key attributes depend only on key,"Most common form, balances redundancy and performance"
Core DBMS Concepts,Relational Model Basics,Boyce-Codd Normal Form (BCNF),Strictest normal form - every determinant is candidate key,"Rarely necessary, more restrictive than 3NF"
Core DBMS Concepts,Relational Model Basics,Denormalization,Intentionally adding redundancy to improve query performance,Violates normalization but reduces joins
Core DBMS Concepts,Relational Model Basics,Cardinality,"Relationship type between entities: one-to-one, one-to-many, many-to-many",Defines connection multiplicity
Data Management & Queries,SQL Fundamentals,SQL (Structured Query Language),Standard language for querying and manipulating relational databases,"SELECT, INSERT, UPDATE, DELETE, CREATE commands"
Data Management & Queries,SQL Fundamentals,DDL (Data Definition Language),SQL commands defining database structure,"CREATE TABLE, ALTER TABLE, DROP TABLE"
