Category,Subcategory,Keyword/Concept,Extensive Explanation,Example/Context
Core OS Concepts,Fundamental Concepts,Operating System,Software that manages hardware resources and provides services to applications,"Windows, Linux, macOS - mediates between hardware and programs"
Core OS Concepts,Fundamental Concepts,Kernel,"Core of OS - manages CPU, memory, I/O, runs in privileged mode",Executes in kernel mode with full hardware access
Core OS Concepts,Fundamental Concepts,User Mode,Restricted execution mode for applications - cannot access hardware directly,"Programs run here, limited permissions"
Core OS Concepts,Fundamental Concepts,Kernel Mode,Privileged execution mode with full hardware access - only kernel runs here,Direct hardware manipulation capability
Core OS Concepts,Fundamental Concepts,System Call,Interface between user programs and kernel - request OS service,"open(), read(), write(), fork() syscalls"
Core OS Concepts,Fundamental Concepts,Context Switch,Mechanism to switch between processes - save/restore state,OS scheduler switches running processes
Core OS Concepts,Fundamental Concepts,Interrupt Handler,Routine that handles hardware/software interrupts,"Handles timer, I/O, exception interrupts"
Core OS Concepts,Fundamental Concepts,Exception,Unexpected event requiring kernel intervention - error or trap,"Division by zero, page fault, illegal instruction"
Core OS Concepts,Fundamental Concepts,Trap,Software-triggered exception - system call or intentional trap,Explicit request to enter kernel mode
Core OS Concepts,Process & Thread Management,Process,"Instance of executing program - isolated address space, resources",Each process has own memory and file descriptors
Core OS Concepts,Process & Thread Management,Process ID (PID),Unique identifier for each process,Used to manage and control processes
Core OS Concepts,Process & Thread Management,Thread,Lightweight execution unit - shares process address space,Multiple threads in single process share memory
Core OS Concepts,Process & Thread Management,Multitasking,OS ability to run multiple processes/threads concurrently,Time-sharing or preemptive execution
Core OS Concepts,Process & Thread Management,Preemption,OS can interrupt running process to run another,Prevents single process from monopolizing CPU
Core OS Concepts,Process & Thread Management,Scheduling,"Algorithm to decide which process runs next - fairness, priority","Round-robin, priority queues, real-time scheduling"
Core OS Concepts,Process & Thread Management,Scheduler,Component that selects next process to run,Runs every time slice (10-100ms typically)
Core OS Concepts,Process & Thread Management,Ready Queue,Queue of processes ready to run - waiting for CPU,Ordered by scheduling priority
Core OS Concepts,Process & Thread Management,Run Queue,Processes currently executing on available CPUs,At most N processes for N CPU cores
Core OS Concepts,Process & Thread Management,Process State,"Current state: New, Ready, Running, Waiting, Terminated",Transitions driven by events and scheduling
