Category,Subcategory,Command Name,Description,Example
File & Directory Management,Navigation,pwd,Print working directory - shows current path,pwd
File & Directory Management,Navigation,cd,Change directory - navigate between directories,cd /home/user/Documents
File & Directory Management,Navigation,ls,List directory contents - view files and folders,ls -la /home
File & Directory Management,Navigation,tree,Display directory tree structure recursively,tree -L 2 /home
File & Directory Management,Navigation,find,Search for files in directory hierarchy,find . -name '*.txt' -type f
File & Directory Management,Navigation,locate,Find files using database (faster than find),locate python3
File & Directory Management,File Operations,touch,Create empty file or update timestamp,touch newfile.txt
File & Directory Management,File Operations,cp,Copy files or directories,cp file1.txt file2.txt
File & Directory Management,File Operations,mv,Move or rename files and directories,mv old_name.txt new_name.txt
File & Directory Management,File Operations,rm,Remove files or directories,rm file.txt
File & Directory Management,File Operations,rmdir,Remove empty directories,rmdir empty_dir
File & Directory Management,File Operations,mkdir,Create new directories,mkdir -p /path/to/new/dir
File & Directory Management,File Operations,file,Determine file type,file document.pdf
File & Directory Management,File Operations,stat,Display file/directory information,stat file.txt
File & Directory Management,Directory Operations,pushd,Push directory onto stack and change,pushd /var/log
File & Directory Management,Directory Operations,popd,Pop directory from stack,popd
File & Directory Management,Directory Operations,dirs,List directory stack,dirs -v
File Content & Viewing,Text Viewing,cat,Display file contents,cat file.txt
File Content & Viewing,Text Viewing,less,View file contents page by page,less large_file.txt
File Content & Viewing,Text Viewing,more,View file contents with paging,more file.txt
File Content & Viewing,Text Viewing,head,Display first lines of file,head -n 20 file.txt
File Content & Viewing,Text Viewing,tail,Display last lines of file,tail -f log.txt
File Content & Viewing,Text Viewing,nl,Number lines in output,nl file.txt
File Content & Viewing,Text Viewing,od,Display file in octal/hex/ASCII format,od -c file.txt
File Content & Viewing,Text Processing,grep,Search text patterns in files,grep -r 'pattern' /path
File Content & Viewing,Text Processing,egrep,Extended grep with regex,egrep '[0-9]+' file.txt
File Content & Viewing,Text Processing,fgrep,Fixed string grep (faster),fgrep 'exact_string' file.txt
File Content & Viewing,Text Processing,sed,Stream editor for text transformation,sed 's/old/new/g' file.txt
File Content & Viewing,Text Processing,awk,Pattern scanning and processing language,"awk '{print $1, $3}' file.txt"
File Content & Viewing,Text Processing,cut,Extract columns from text,"cut -d',' -f1,3 file.csv"
File Content & Viewing,Text Processing,tr,Translate or delete characters,tr 'a-z' 'A-Z' < file.txt
File Content & Viewing,Text Processing,sort,Sort lines of text,sort -n numbers.txt
File Content & Viewing,Text Processing,uniq,Remove consecutive duplicate lines,uniq file.txt
File Content & Viewing,Text Processing,wc,"Count lines, words, bytes",wc -l file.txt
File Content & Viewing,Text Processing,diff,Compare files line by line,diff file1.txt file2.txt
File Content & Viewing,Text Processing,cmp,Compare files byte by byte,cmp file1.txt file2.txt
File Content & Viewing,Text Processing,comm,Compare sorted files,comm file1.txt file2.txt
File Content & Viewing,Text Processing,patch,Apply patch files,patch < changes.patch
File Permissions & Ownership,Permissions,chmod,Change file permissions,chmod 755 script.sh
File Permissions & Ownership,Permissions,chmod +x,Make file executable,chmod +x script.sh
File Permissions & Ownership,Permissions,chmod -R,Recursively change permissions,chmod -R 644 /path/to/dir
File Permissions & Ownership,Permissions,umask,Set default file creation permissions,umask 022
File Permissions & Ownership,Ownership,chown,Change file owner and group,chown user:group file.txt
File Permissions & Ownership,Ownership,chown -R,Recursively change ownership,chown -R www-data:www-data /var/www
