Category,Subcategory,Function/Class Name,Description,Example
Containers,Sequence Containers,vector,Dynamic array with random access,vector<int> v; v.push_back(5); cout << v[0];
Containers,Sequence Containers,deque,Double-ended queue with O(1) access at both ends,deque<int> d; d.push_back(5); d.push_front(3);
Containers,Sequence Containers,list,Doubly-linked list with O(1) insertion/deletion,list<int> l; l.push_back(5); l.erase(l.begin());
Containers,Sequence Containers,forward_list,Singly-linked list (C++11),forward_list<int> fl; fl.push_front(5);
Containers,Sequence Containers,array,Fixed-size array wrapper (C++11),"array<int, 5> arr; arr[0] = 10;"
Containers,Associative Containers,set,Sorted unique elements,set<int> s; s.insert(5); auto it = s.find(5);
Containers,Associative Containers,multiset,Sorted elements (duplicates allowed),multiset<int> ms; ms.insert(5); ms.insert(5);
Containers,Associative Containers,map,Sorted key-value pairs (unique keys),"map<int,string> m; m[1] = ""one""; m.erase(1);"
Containers,Associative Containers,multimap,Sorted key-value pairs (duplicate keys allowed),"multimap<int,string> mm; mm.insert({1, ""one""});"
Containers,Unordered Associative Containers,unordered_set,Hash-based unique elements,unordered_set<int> us; us.insert(5);
Containers,Unordered Associative Containers,unordered_multiset,Hash-based elements (duplicates allowed),unordered_multiset<int> ums; ums.insert(5);
Containers,Unordered Associative Containers,unordered_map,Hash-based key-value pairs (unique keys),"unordered_map<int,string> um; um[1] = ""one"";"
Containers,Unordered Associative Containers,unordered_multimap,Hash-based key-value pairs (duplicate keys),"unordered_multimap<int,string> umm; umm.insert({1, ""one""});"
Containers,Container Adapters,stack,LIFO - Last In First Out,stack<int> st; st.push(5); int x = st.top(); st.pop();
Containers,Container Adapters,queue,FIFO - First In First Out,queue<int> q; q.push(5); int x = q.front(); q.pop();
Containers,Container Adapters,priority_queue,Max-heap by default,priority_queue<int> pq; pq.push(5); int x = pq.top(); pq.pop();
Container Member Functions,Common Functions,begin(),Returns iterator to beginning,auto it = v.begin();
Container Member Functions,Common Functions,end(),Returns iterator to end (one past last element),auto it = v.end();
Container Member Functions,Common Functions,rbegin(),Returns reverse iterator to end,auto it = v.rbegin();
Container Member Functions,Common Functions,rend(),Returns reverse iterator to beginning,auto it = v.rend();
Container Member Functions,Common Functions,cbegin(),Returns const iterator to beginning (C++11),auto it = v.cbegin();
Container Member Functions,Common Functions,cend(),Returns const iterator to end (C++11),auto it = v.cend();
Container Member Functions,Common Functions,size(),Returns number of elements,int sz = v.size();
Container Member Functions,Common Functions,empty(),Checks if container is empty,if (v.empty()) { }
Container Member Functions,Common Functions,max_size(),Returns maximum possible size,int max = v.max_size();
Container Member Functions,Common Functions,capacity(),Returns allocated storage capacity (vectors only),int cap = v.capacity();
Container Member Functions,Common Functions,reserve(),Reserves storage space (vectors only),v.reserve(100);
Container Member Functions,Common Functions,shrink_to_fit(),Reduces capacity to match size (C++11),v.shrink_to_fit();
Container Member Functions,Common Functions,clear(),Removes all elements,v.clear();
Container Member Functions,Common Functions,insert(),Inserts element(s) at position,"v.insert(v.begin() + 2, 10);"
Container Member Functions,Common Functions,erase(),Removes element(s),"v.erase(v.begin()); v.erase(v.begin(), v.begin()+2);"
Container Member Functions,Common Functions,push_back(),Adds element to end,v.push_back(10);
Container Member Functions,Common Functions,pop_back(),Removes last element,v.pop_back();
Container Member Functions,Common Functions,push_front(),Adds element to front (list/deque only),l.push_front(10);
Container Member Functions,Common Functions,pop_front(),Removes first element (list/deque only),l.pop_front();
Container Member Functions,Common Functions,front(),Returns reference to first element,int x = v.front();
Container Member Functions,Common Functions,back(),Returns reference to last element,int x = v.back();
Container Member Functions,Common Functions,at(),Returns element at position with bounds checking,int x = v.at(2);
Container Member Functions,Common Functions,operator[],Accesses element without bounds checking,int x = v[2];
Container Member Functions,Common Functions,data(),Returns pointer to underlying array (C++11),int* ptr = v.data();
Container Member Functions,Common Functions,operator=(),Assigns container content,v1 = v2;
Container Member Functions,Common Functions,swap(),Swaps contents with another container,v1.swap(v2);
Container Member Functions,Common Functions,emplace(),Constructs element in place (C++11),"v.emplace(v.begin(), 10);"
Container Member Functions,Common Functions,emplace_back(),Constructs element at end (C++11),v.emplace_back(10);
Container Member Functions,Common Functions,emplace_front(),Constructs element at front (C++11),l.emplace_front(10);
Container Member Functions,Associative Container Functions,count(),Returns number of elements with specific key,int n = m.count(1);
Container Member Functions,Associative Container Functions,find(),Returns iterator to element with specific key,auto it = m.find(1);
Container Member Functions,Associative Container Functions,equal_range(),Returns range of elements with specific key,auto range = m.equal_range(1);
Container Member Functions,Associative Container Functions,lower_bound(),Returns iterator to first element >= key (sorted containers),auto it = m.lower_bound(1);
Container Member Functions,Associative Container Functions,upper_bound(),Returns iterator to first element > key (sorted containers),auto it = m.upper_bound(1);
Container Member Functions,Associative Container Functions,key_comp(),Returns key comparison function,auto cmp = m.key_comp();
Container Member Functions,Associative Container Functions,value_comp(),Returns value comparison function,auto cmp = m.value_comp();
Container Member Functions,Hash Container Functions,bucket(),Returns bucket index for key,int b = um.bucket(1);
Container Member Functions,Hash Container Functions,bucket_count(),Returns number of buckets,int cnt = um.bucket_count();
Container Member Functions,Hash Container Functions,bucket_size(),Returns number of elements in bucket,int sz = um.bucket_size(0);
Container Member Functions,Hash Container Functions,load_factor(),Returns average elements per bucket,float lf = um.load_factor();
Container Member Functions,Hash Container Functions,max_load_factor(),Returns/sets maximum load factor,float mlf = um.max_load_factor();
Container Member Functions,Hash Container Functions,rehash(),Changes number of buckets,um.rehash(50);
Container Member Functions,Hash Container Functions,reserve(),Reserves space for elements,um.reserve(100);
Container Member Functions,Hash Container Functions,hash_function(),Returns hash function,auto hash = um.hash_function();
Container Member Functions,Hash Container Functions,key_eq(),Returns key equality function,auto eq = um.key_eq();
Container Member Functions,List-specific Functions,splice(),Transfers elements between lists,"l1.splice(l1.begin(), l2);"
Container Member Functions,List-specific Functions,remove(),Removes elements with specific value,l.remove(5);
Container Member Functions,List-specific Functions,remove_if(),Removes elements satisfying condition,l.remove_if([](int x){ return x % 2 == 0; });
Container Member Functions,List-specific Functions,unique(),Removes consecutive duplicates,l.unique();
Container Member Functions,List-specific Functions,merge(),Merges another sorted list into this one,l1.merge(l2);
Container Member Functions,List-specific Functions,sort(),Sorts list elements,l.sort();
Container Member Functions,List-specific Functions,reverse(),Reverses list order,l.reverse();
Algorithms,Non-Modifying Algorithms,find(),Searches for element and returns iterator,"auto it = find(v.begin(), v.end(), 5);"
