Category,Subcategory,Keyword,Explanation,Example/Context
OSI Model Layers,Physical Layer (Layer 1),Bits,Smallest unit of data transmission - 0s and 1s,Transmitted as electrical signals over cables
OSI Model Layers,Physical Layer (Layer 1),Physical Media,Tangible transmission mediums - cables fiber optics wireless,Ethernet cables fiber optic radio waves
OSI Model Layers,Physical Layer (Layer 1),Hub,Device that broadcasts data to all connected ports without filtering,Basic network device
OSI Model Layers,Physical Layer (Layer 1),Repeater,Device that regenerates weak signals to extend transmission distance,Signal amplification over long distances
OSI Model Layers,Physical Layer (Layer 1),Modem,Modulator/demodulator - converts digital signals to analog and vice versa,Dial-up connections DSL cable internet
OSI Model Layers,Data Link Layer (Layer 2),MAC Address,Media Access Control address - unique 48-bit identifier for network devices,Example: 00:1A:2B:3C:4D:5E
OSI Model Layers,Data Link Layer (Layer 2),Switch,Device that forwards data frames based on MAC addresses to specific ports,LAN connectivity and segmentation
OSI Model Layers,Data Link Layer (Layer 2),Frame,Data unit at Layer 2 containing MAC addresses VLAN info and error checking,Encapsulation of Layer 2 data
OSI Model Layers,Data Link Layer (Layer 2),Ethernet,Protocol for LAN communication - defines frame format and access methods,Most common LAN technology
OSI Model Layers,Data Link Layer (Layer 2),PPP,Point-to-Point Protocol - direct communication between two nodes,Serial connections dialup
OSI Model Layers,Data Link Layer (Layer 2),ARP,Address Resolution Protocol - maps IP addresses to MAC addresses,Resolves IP-to-MAC mappings
OSI Model Layers,Data Link Layer (Layer 2),VLAN,Virtual Local Area Network - logically segments a physical LAN,Network segmentation without physical separation
OSI Model Layers,Network Layer (Layer 3),IP Address,Internet Protocol address - unique logical identifier (IPv4 32-bit IPv6 128-bit),Example: 192.168.1.1
OSI Model Layers,Network Layer (Layer 3),IPv4,Internet Protocol version 4 - 32-bit addressing scheme,Most widely used 4.3 billion addresses
OSI Model Layers,Network Layer (Layer 3),IPv6,Internet Protocol version 6 - 128-bit addressing scheme,Future protocol 340 undecillion addresses
OSI Model Layers,Network Layer (Layer 3),Packet,Data unit at Layer 3 containing source/dest IP addresses and routing info,Basic routing unit across networks
OSI Model Layers,Network Layer (Layer 3),Router,Device that forwards packets between networks based on IP addresses,Inter-network communication
OSI Model Layers,Network Layer (Layer 3),Routing,Process of determining the best path for packet delivery,Determines data path through networks
OSI Model Layers,Network Layer (Layer 3),ICMP,Internet Control Message Protocol - diagnostic and error reporting,ping traceroute commands
OSI Model Layers,Network Layer (Layer 3),Subnet,Logical subdivision of an IP network,Segmentation of network address space
OSI Model Layers,Network Layer (Layer 3),Subnet Mask,Determines which portion of IP is network vs. host,Example: 255.255.255.0 (/24)
OSI Model Layers,Network Layer (Layer 3),Default Gateway,Router through which devices send traffic to other networks,Exit point from local network
OSI Model Layers,Network Layer (Layer 3),NAT,Network Address Translation - maps internal IPs to external IPs,Translates between private and public IPs
OSI Model Layers,Network Layer (Layer 3),IGMP,Internet Group Management Protocol - manages multicast group membership,Multicast traffic management
OSI Model Layers,Transport Layer (Layer 4),TCP,Transmission Control Protocol - reliable connection-oriented delivery,Email web FTP - ordered delivery
OSI Model Layers,Transport Layer (Layer 4),UDP,User Datagram Protocol - unreliable connectionless delivery,VoIP streaming - speed over reliability
OSI Model Layers,Transport Layer (Layer 4),Port,Virtual endpoint for network communication (0-65535),Identifies specific service/application
OSI Model Layers,Transport Layer (Layer 4),Socket,Combination of IP address and port number,Endpoint for network communication
OSI Model Layers,Transport Layer (Layer 4),Segment,Data unit at Layer 4 for TCP,TCP packet with headers and data
OSI Model Layers,Transport Layer (Layer 4),Datagram,Data unit at Layer 4 for UDP,UDP packet with headers and data
OSI Model Layers,Transport Layer (Layer 4),Flow Control,Mechanism to prevent receiver from being overwhelmed,TCP window management
OSI Model Layers,Transport Layer (Layer 4),Error Detection,Checks for transmission errors in data,Checksum calculation and verification
OSI Model Layers,Transport Layer (Layer 4),Connection Establishment,TCP three-way handshake - SYN SYN-ACK ACK,Initiates reliable connection
OSI Model Layers,Session Layer (Layer 5),Session,Logical connection between two applications,Maintains communication dialogue
OSI Model Layers,Session Layer (Layer 5),Authentication,Verification of user identity before communication,User credentials validation
OSI Model Layers,Session Layer (Layer 5),Authorization,Determines what authenticated user can access,Permission enforcement
OSI Model Layers,Session Layer (Layer 5),Session Management,Establishment maintenance and termination of sessions,Dialog control
OSI Model Layers,Presentation Layer (Layer 6),Encryption,Converts plaintext to ciphertext for security,Protects data confidentiality
OSI Model Layers,Presentation Layer (Layer 6),Compression,Reduces data size for efficient transmission,GZIP ZIP compression
OSI Model Layers,Presentation Layer (Layer 6),Character Encoding,Represents text in standardized format,ASCII UTF-8 Unicode
OSI Model Layers,Presentation Layer (Layer 6),SSL/TLS,Secure Sockets Layer/Transport Layer Security - encryption protocol,HTTPS encryption
OSI Model Layers,Application Layer (Layer 7),HTTP,HyperText Transfer Protocol - web browsing protocol (insecure),Port 80 web pages
OSI Model Layers,Application Layer (Layer 7),HTTPS,HTTP with encryption,Port 443 secure web pages
OSI Model Layers,Application Layer (Layer 7),FTP,File Transfer Protocol - file transfer protocol,Port 21 file transfer
OSI Model Layers,Application Layer (Layer 7),SFTP,SSH File Transfer Protocol - secure file transfer,Port 22 encrypted file transfer
OSI Model Layers,Application Layer (Layer 7),SSH,Secure Shell - secure remote login,Port 22 encrypted terminal access
OSI Model Layers,Application Layer (Layer 7),Telnet,Remote login protocol (unencrypted deprecated),Port 23 unencrypted access
OSI Model Layers,Application Layer (Layer 7),SMTP,Simple Mail Transfer Protocol - email sending,Port 25 outgoing mail
OSI Model Layers,Application Layer (Layer 7),POP3,Post Office Protocol v3 - email retrieval,Port 110 download mail
OSI Model Layers,Application Layer (Layer 7),IMAP,Internet Message Access Protocol - email access,Port 143 mail synchronization
OSI Model Layers,Application Layer (Layer 7),DNS,Domain Name System - hostname to IP translation,Port 53 domain name resolution
OSI Model Layers,Application Layer (Layer 7),DHCP,Dynamic Host Configuration Protocol - automatic IP assignment,Leases IPs to clients
OSI Model Layers,Application Layer (Layer 7),SNMP,Simple Network Management Protocol - network device monitoring,Port 161 device alerts
OSI Model Layers,Application Layer (Layer 7),LDAP,Lightweight Directory Access Protocol - directory services,Port 389 user authentication
OSI Model Layers,Application Layer (Layer 7),NTP,Network Time Protocol - time synchronization,Port 123 clock synchronization
OSI Model Layers,Application Layer (Layer 7),RTSP,Real Time Streaming Protocol - media streaming control,Port 554 video/audio streaming
OSI Model Layers,Application Layer (Layer 7),RTP,Real-time Transport Protocol - real-time data delivery,VoIP video conferencing
OSI Model Layers,Application Layer (Layer 7),SIP,Session Initiation Protocol - multimedia session setup,VoIP call setup
Network Types & Architecture,Network Geographic Scope,PAN,Personal Area Network - very small within few meters,Bluetooth USB connections
Network Types & Architecture,Network Geographic Scope,LAN,Local Area Network - covers single building/campus,Ethernet typical office network
Network Types & Architecture,Network Geographic Scope,WAN,Wide Area Network - covers large geographical area,Internet branch office connections
Network Types & Architecture,Network Geographic Scope,MAN,Metropolitan Area Network - city-scale network,Between LANs in same city
Network Types & Architecture,Network Geographic Scope,CAN,Campus Area Network - multiple buildings in nearby area,University/corporate campus
Network Types & Architecture,Network Geographic Scope,GAN,Global Area Network - worldwide scale,Global corporate networks
Network Types & Architecture,Wireless Technologies,WLAN,Wireless Local Area Network - wireless LAN,WiFi networks 802.11 standards
Network Types & Architecture,Wireless Technologies,WMAN,Wireless Metropolitan Area Network - wireless MAN,WiMAX wireless city networks
Network Types & Architecture,Wireless Technologies,WPAN,Wireless Personal Area Network - wireless PAN,Bluetooth ZigBee
Network Types & Architecture,Wireless Technologies,WiFi,Wireless Fidelity - 802.11 standards,Most common wireless LAN
Network Types & Architecture,Wireless Technologies,802.11a,WiFi standard - 5 GHz 54 Mbps,Legacy limited range
Network Types & Architecture,Wireless Technologies,802.11b,WiFi standard - 2.4 GHz 11 Mbps,Legacy prone to interference
Network Types & Architecture,Wireless Technologies,802.11g,WiFi standard - 2.4 GHz 54 Mbps,Better than 802.11b
Network Types & Architecture,Wireless Technologies,802.11n,WiFi standard - 2.4/5 GHz 600 Mbps,MIMO technology better range
Network Types & Architecture,Wireless Technologies,802.11ac,WiFi standard - 5 GHz 1.3 Gbps (WiFi 5),Faster 5 GHz speeds
Network Types & Architecture,Wireless Technologies,802.11ax,WiFi standard - 2.4/5/6 GHz 9.6 Gbps (WiFi 6),Latest standard OFDMA
Network Types & Architecture,Wireless Technologies,Bluetooth,Short-range wireless - 2.4 GHz 10-100m range,Device pairing file transfer
Network Types & Architecture,Wireless Technologies,BLE,Bluetooth Low Energy - low power variant,IoT devices wearables
Network Types & Architecture,Wireless Technologies,LTE,Long-Term Evolution - 4G cellular standard,Mobile broadband
Network Types & Architecture,Wireless Technologies,5G,Fifth generation cellular - ultra-high speed low latency,Next-gen mobile networks
Network Types & Architecture,Network Topologies,Bus,All devices connected to single shared medium,Early Ethernet networks
Network Types & Architecture,Network Topologies,Star,All devices connected to central hub/switch,Most common modern topology
